,role_or_degree,role_code
18586,general manager/owner/trainer,3900
18587,supervisor for business intelligence analyst and reporting specialist,10948
18588,site reports analyst,10312
18591,senior ran optimization engineer,9852
18594,intern (media administrator - ipost),5291
18596,sr. procurement specialist,10742
18598,sr. procurement officer/procurement analyst,10741
18602,senior systems development analysts,10027
18603,systems development analyst,11145
18604,junior systems development analysts,5880
18605,collection and reconciliation analyst,1897
18606,employee benefits admin,3233
18608,operations lead (project-based),7007
18609,marketing operations intern,6518
18614,cx strategy and solutions vp,2689
18615,"cx design and service excellence, vp",2688
18616,"customer experience strategy & solutions, vp",2515
18617,dept head/vp- customer experience design & solutions,2895
18618,"head, customer experience management",4274
18619,"head, wireless center operations",4300
18620,process manager (customer touchpoints),7574
18621,area manager (south metro manila),558
18622,area manager (north metro manila),557
18626,senior international network engineer,9579
18628,transmission engineer,11924
18630,carrier business technical support engineer,1593
18631,dsl installation/support engineer,3144
18635,supply and logistics planner,10979
18636,order management,7114
18637,marketing and sales service associate,6473
18648,"junior brand manager, gtm & subs management",5788
18649,"senior brand officer, broadband marketing",9342
18650,"brand officer, mobile internet marketing",1269
18651,"marketing officer, mobile internet marketing",6516
18652,"marketing officer, value-added services marketing",6517
18653,senior manager hr business partner,9662
18654,"manager, hr business partner",6364
18655,hr business partner - generalist,4521
18656,hr business partner - talent management,4523
18661,structural engineering specialist,10876
18662,senior civil/structural engineer,9375
18663,civil/structural engineer,1763
18665,junior civil supervisor,5793
18669,assistant vice president and brand head of smart infinity,785
18670,fashion designer,3532
18671,joseph- senior manager merchandising and store operations,5697
18672,(fashion buyer) category merchandise manager for womenswear,12
18673,assistant vice president | it digital delivery - wireless portfolio,797
18674,assistant vice president | head of digital transformation,796
18675,agile program manager,348
18677,customer experience manager,2508
18678,supervisor - process improvement & project delivery,10940
18679,subject matter expert - process improvement,10911
18680,team lead - customer service operations,11323
18681,technical customer care representative,11480
18683,payroll specialist ii,7255
18685,vp - gigalife app design & management,12178
18686,"assistant vice president, user interface & user experience design",805
18687,creative director,2353
18688,adjunct faculty / lecturer,269
18689,deputy head - creative technology,2913
18690,principal and creative director,7474
18691,creative manager,2358
18692,consulting senior designer,2084
18693,creative head,2356
18694,creative head for mmog,2357
18695,interface designer,5273
18698,senior manager for content design,9657
18699,graphic and web designer,4073
18700,device marketing head - smart postpaid,2970
18701,brand manager - mobile banking,1255
18702,senior product officer,9798
18703,corporate marketing supervisor,2260
18704,asst. brand manager - 24/7 banking,979
18705,vice president and head of content business development,12111
18706,vice president and head of prepaid marketing,12112
18707,avp & head of entertainment product management,1075
18708,"head, smart prepaid brand marketing",4294
18709,"head, smart prepaid go-to-market",4295
18710,"segment head, retail engagement and load",9200
18711,global head of operations,3946
18712,manager - mobile financial services,6300
18713,"business head - enterprise business group, philippines",1395
18714,"sales manager - enterprise business group, philippines",8920
18715,associate sales manager / sales supervisor / senior account executive - enterprise business group,923
18716,information security professional,5160
18717,technical supervisor,11553
18723,intelligent network consultant,5266
18726,s12 engineer,8843
18728,lease and management supervisor,6092
18731,senior lease associate,9620
18732,lease and asset management officer,6091
18733,documentation officer,3127
18735,team leader-autocad designer & researcher,11406
18736,senoir ran optimization engineer,10125
18737,ran optimization engineer,8294
18738,rno engineer,8809
18739,optimization engineer,7088
18743,it security engineer,5579
18745,business intelligence(intern),1412
18746,internet staff,5387
18755,senior ran project engineer,9853
18756,program integrator ,7840
18757,ran project engineer,8297
18758,design engineer - team lead,2938
18759,fault management associate,3535
18761,business continuity and digital channels,1350
18764,"telephony support supervisor, connectivity solutions team",11717
18765,senior technical helpdesk agent,10079
18768,senior sharepoint specialist,9914
18769,senior enterprise systems engineer,9472
18770,sharepoint support engineer,10276
18771,sharepoint application analyst,10271
18772,application support/offshore admin,509
18774,treasury analyst iii,11950
18777,software development specialist (supervisor),10389
